"","Parameter","Specie","Plante","Value"
"1","erSem","Butternut",1,0.1071
"2","dSem","Butternut",1,1
"3","maxSem","Butternut",1,1
"4","ageAdv","Butternut",1,0
"5","distAdv","Butternut",1,0
"6","erAdv","Butternut",1,0
"7","dAdv","Butternut",1,0
"8","maxAdv","Butternut",1,0
"9","dmin","Butternut",1,0.342641159
"10","dmax","Butternut",1,0.638764715
"11","EL","Butternut",1,47.1893962337635
"12","TrT","Butternut",1,1
"13","Trint","Butternut",1,0.03
"14","PDT","Butternut",1,0.936
"15","IPD","Butternut",1,7.33902706469277
"16","pdmax","Butternut",1,0.8
"17","pdmin","Butternut",1,0
"18","RDM","Butternut",1,0.0783829735217209
"19","CVDD","Butternut",1,0.15
"20","TMD","Butternut",1,0.1
"21","GDs","Butternut",1,400
"22","SGC","Butternut",1,0.9
"23","LDC","Butternut",1,5000
"24","erSem","Butternut",2,0.1071
"25","dSem","Butternut",2,1
"26","maxSem","Butternut",2,1
"27","ageAdv","Butternut",2,0
"28","distAdv","Butternut",2,0
"29","erAdv","Butternut",2,0
"30","dAdv","Butternut",2,0
"31","maxAdv","Butternut",2,0
"32","dmin","Butternut",2,0.310233754
"33","dmax","Butternut",2,0.620376624
"34","EL","Butternut",2,47.1893962337635
"35","TrT","Butternut",2,1
"36","Trint","Butternut",2,0.03
"37","PDT","Butternut",2,0.936
"38","IPD","Butternut",2,4.19371437701744
"39","pdmax","Butternut",2,0.8
"40","pdmin","Butternut",2,0
"41","RDM","Butternut",2,0.0783829735217209
"42","CVDD","Butternut",2,0.15
"43","TMD","Butternut",2,0.1
"44","GDs","Butternut",2,400
"45","SGC","Butternut",2,0.9
"46","LDC","Butternut",2,5000
"47","erSem","Butternut",3,0.1071
"48","dSem","Butternut",3,1
"49","maxSem","Butternut",3,1
"50","ageAdv","Butternut",3,0
"51","distAdv","Butternut",3,0
"52","erAdv","Butternut",3,0
"53","dAdv","Butternut",3,0
"54","maxAdv","Butternut",3,0
"55","dmin","Butternut",3,0.314192676
"56","dmax","Butternut",3,0.566336028
"57","EL","Butternut",3,47.1893962337635
"58","TrT","Butternut",3,1
"59","Trint","Butternut",3,0.03
"60","PDT","Butternut",3,0.936
"61","IPD","Butternut",3,10.190944932694
"62","pdmax","Butternut",3,0.8
"63","pdmin","Butternut",3,0
"64","RDM","Butternut",3,0.0783829735217209
"65","CVDD","Butternut",3,0.15
"66","TMD","Butternut",3,0.1
"67","GDs","Butternut",3,400
"68","SGC","Butternut",3,0.9
"69","LDC","Butternut",3,5000
"70","erSem","Butternut",4,0.1071
"71","dSem","Butternut",4,1
"72","maxSem","Butternut",4,1
"73","ageAdv","Butternut",4,0
"74","distAdv","Butternut",4,0
"75","erAdv","Butternut",4,0
"76","dAdv","Butternut",4,0
"77","maxAdv","Butternut",4,0
"78","dmin","Butternut",4,0.295705062
"79","dmax","Butternut",4,0.63356393
"80","EL","Butternut",4,47.1893962337635
"81","TrT","Butternut",4,1
"82","Trint","Butternut",4,0.03
"83","PDT","Butternut",4,0.936
"84","IPD","Butternut",4,8.28294669834427
"85","pdmax","Butternut",4,0.8
"86","pdmin","Butternut",4,0
"87","RDM","Butternut",4,0.0783829735217209
"88","CVDD","Butternut",4,0.15
"89","TMD","Butternut",4,0.1
"90","GDs","Butternut",4,400
"91","SGC","Butternut",4,0.9
"92","LDC","Butternut",4,5000
"93","erSem","Butternut",5,0.1071
"94","dSem","Butternut",5,1
"95","maxSem","Butternut",5,1
"96","ageAdv","Butternut",5,0
"97","distAdv","Butternut",5,0
"98","erAdv","Butternut",5,0
"99","dAdv","Butternut",5,0
"100","maxAdv","Butternut",5,0
"101","dmin","Butternut",5,0.28543368
"102","dmax","Butternut",5,0.54446105
"103","EL","Butternut",5,47.1893962337635
"104","TrT","Butternut",5,1
"105","Trint","Butternut",5,0.03
"106","PDT","Butternut",5,0.936
"107","IPD","Butternut",5,5.49994323600252
"108","pdmax","Butternut",5,0.8
"109","pdmin","Butternut",5,0
"110","RDM","Butternut",5,0.0783829735217209
"111","CVDD","Butternut",5,0.15
"112","TMD","Butternut",5,0.1
"113","GDs","Butternut",5,400
"114","SGC","Butternut",5,0.9
"115","LDC","Butternut",5,5000
